[(27, 94, 32), (46, 125, 50), (67, 160, 71), (46, 125, 50), (102, 187, 106), (27, 94, 32)]
[(27, 94, 32), (102, 187, 106), (46, 125, 50), (67, 160, 71), (46, 125, 50), (27, 94, 32)]
[(62, 39, 35), (27, 94, 32), (27, 94, 32), (165, 214, 167), (27, 94, 32), (93, 64, 55)]
[(141, 110, 99), (78, 52, 46), (93, 64, 55), (27, 94, 32), (93, 64, 55), (141, 110, 99)]
[(62, 39, 35), (93, 64, 55), (141, 110, 99), (78, 52, 46), (62, 39, 35), (161, 136, 127)]
[(109, 76, 65), (141, 110, 99), (93, 64, 55), (93, 64, 55), (188, 170, 164), (78, 52, 46)]
[(27, 94, 32), (46, 125, 50), (67, 160, 71), (46, 125, 50), (102, 187, 106), (27, 94, 32)]
[(27, 94, 32), (102, 187, 106), (46, 125, 50), (67, 160, 71), (46, 125, 50), (27, 94, 32)]
[(62, 39, 35), (27, 94, 32), (27, 94, 32), (165, 214, 167), (27, 94, 32), (93, 64, 55)]
[(141, 110, 99), (78, 52, 46), (93, 64, 55), (27, 94, 32), (93, 64, 55), (141, 110, 99)]
[(62, 39, 35), (93, 64, 55), (141, 110, 99), (78, 52, 46), (62, 39, 35), (161, 136, 127)]
[(109, 76, 65), (141, 110, 99), (93, 64, 55), (93, 64, 55), (188, 170, 164), (78, 52, 46)]
[(11, 88, 17), (33, 124, 38), (57, 164, 62), (33, 124, 38), (98, 195, 102), (11, 88, 17)]
[(11, 88, 17), (98, 195, 102), (33, 124, 38), (57, 164, 62), (33, 124, 38), (11, 88, 17)]
[(52, 25, 21), (11, 88, 17), (11, 88, 17), (170, 226, 172), (11, 88, 17), (87, 54, 44)]
[(143, 107, 94), (70, 40, 33), (87, 54, 44), (11, 88, 17), (87, 54, 44), (143, 107, 94)]
[(52, 25, 21), (87, 54, 44), (143, 107, 94), (70, 40, 33), (52, 25, 21), (166, 137, 126)]
[(106, 68, 55), (143, 107, 94), (87, 54, 44), (87, 54, 44), (197, 176, 169), (70, 40, 33)]
[(11, 88, 17), (33, 124, 38), (57, 164, 62), (33, 124, 38), (98, 195, 102), (11, 88, 17)]
[(11, 88, 17), (98, 195, 102), (33, 124, 38), (57, 164, 62), (33, 124, 38), (11, 88, 17)]
[(52, 25, 21), (11, 88, 17), (11, 88, 17), (170, 226, 172), (11, 88, 17), (87, 54, 44)]
[(143, 107, 94), (70, 40, 33), (87, 54, 44), (11, 88, 17), (87, 54, 44), (143, 107, 94)]
[(52, 25, 21), (87, 54, 44), (143, 107, 94), (70, 40, 33), (52, 25, 21), (166, 137, 126)]
[(106, 68, 55), (143, 107, 94), (87, 54, 44), (87, 54, 44), (197, 176, 169), (70, 40, 33)]
[(11, 88, 17), (33, 124, 38), (57, 164, 62), (33, 124, 38), (98, 195, 102), (11, 88, 17)]
[(11, 88, 17), (98, 195, 102), (33, 124, 38), (57, 164, 62), (33, 124, 38), (11, 88, 17)]
[(52, 25, 21), (11, 88, 17), (11, 88, 17), (170, 226, 172), (11, 88, 17), (87, 54, 44)]
[(143, 107, 94), (70, 40, 33), (87, 54, 44), (11, 88, 17), (87, 54, 44), (143, 107, 94)]
[(52, 25, 21), (87, 54, 44), (143, 107, 94), (70, 40, 33), (52, 25, 21), (166, 137, 126)]
[(106, 68, 55), (143, 107, 94), (87, 54, 44), (87, 54, 44), (197, 176, 169), (70, 40, 33)]
