[(31, 21, 19), (78, 52, 46), (141, 110, 99), (93, 64, 55), (62, 39, 35), (31, 21, 19)]
[(31, 21, 19), (62, 39, 35), (109, 76, 65), (62, 39, 35), (141, 110, 99), (31, 21, 19)]
[(31, 21, 19), (93, 64, 55), (141, 110, 99), (161, 136, 127), (93, 64, 55), (31, 21, 19)]
[(31, 21, 19), (188, 170, 164), (78, 52, 46), (93, 64, 55), (78, 52, 46), (31, 21, 19)]
[(31, 21, 19), (109, 76, 65), (62, 39, 35), (109, 76, 65), (161, 136, 127), (31, 21, 19)]
[(31, 21, 19), (141, 110, 99), (188, 170, 164), (93, 64, 55), (62, 39, 35), (31, 21, 19)]
[(31, 21, 19), (78, 52, 46), (141, 110, 99), (93, 64, 55), (62, 39, 35), (31, 21, 19)]
[(31, 21, 19), (62, 39, 35), (109, 76, 65), (62, 39, 35), (141, 110, 99), (31, 21, 19)]
[(31, 21, 19), (93, 64, 55), (141, 110, 99), (161, 136, 127), (93, 64, 55), (31, 21, 19)]
[(31, 21, 19), (188, 170, 164), (78, 52, 46), (93, 64, 55), (78, 52, 46), (31, 21, 19)]
[(31, 21, 19), (109, 76, 65), (62, 39, 35), (109, 76, 65), (161, 136, 127), (31, 21, 19)]
[(31, 21, 19), (141, 110, 99), (188, 170, 164), (93, 64, 55), (62, 39, 35), (31, 21, 19)]
[(0, 0, 0), (58, 21, 13), (146, 103, 87), (79, 38, 26), (35, 3, 0), (0, 0, 0)]
[(0, 0, 0), (35, 3, 0), (101, 55, 40), (35, 3, 0), (146, 103, 87), (0, 0, 0)]
[(0, 0, 0), (79, 38, 26), (146, 103, 87), (174, 139, 126), (79, 38, 26), (0, 0, 0)]
[(0, 0, 0), (212, 187, 178), (58, 21, 13), (79, 38, 26), (58, 21, 13), (0, 0, 0)]
[(0, 0, 0), (101, 55, 40), (35, 3, 0), (101, 55, 40), (174, 139, 126), (0, 0, 0)]
[(0, 0, 0), (146, 103, 87), (212, 187, 178), (79, 38, 26), (35, 3, 0), (0, 0, 0)]
[(0, 0, 0), (58, 21, 13), (146, 103, 87), (79, 38, 26), (35, 3, 0), (0, 0, 0)]
[(0, 0, 0), (35, 3, 0), (101, 55, 40), (35, 3, 0), (146, 103, 87), (0, 0, 0)]
[(0, 0, 0), (79, 38, 26), (146, 103, 87), (174, 139, 126), (79, 38, 26), (0, 0, 0)]
[(0, 0, 0), (212, 187, 178), (58, 21, 13), (79, 38, 26), (58, 21, 13), (0, 0, 0)]
[(0, 0, 0), (101, 55, 40), (35, 3, 0), (101, 55, 40), (174, 139, 126), (0, 0, 0)]
[(0, 0, 0), (146, 103, 87), (212, 187, 178), (79, 38, 26), (35, 3, 0), (0, 0, 0)]
[(255, 255, 255), (58, 21, 13), (146, 103, 87), (79, 38, 26), (35, 3, 0), (255, 255, 255)]
[(255, 255, 255), (35, 3, 0), (101, 55, 40), (35, 3, 0), (146, 103, 87), (255, 255, 255)]
[(255, 255, 255), (79, 38, 26), (146, 103, 87), (174, 139, 126), (79, 38, 26), (255, 255, 255)]
[(255, 255, 255), (212, 187, 178), (58, 21, 13), (79, 38, 26), (58, 21, 13), (255, 255, 255)]
[(255, 255, 255), (101, 55, 40), (35, 3, 0), (101, 55, 40), (174, 139, 126), (255, 255, 255)]
[(255, 255, 255), (146, 103, 87), (212, 187, 178), (79, 38, 26), (35, 3, 0), (255, 255, 255)]
