[(109, 76, 65), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (109, 76, 65)]
[(141, 110, 99), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (-12, -12, -12), (188, 170, 164), (141, 110, 99)]
[(141, 110, 99), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (188, 170, 164), (141, 110, 99)]
[(109, 76, 65), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (141, 110, 99), (109, 76, 65)]
